InvoiceNumber,Registered,Client,Address,IBAN,SWIFT,InDatabase,Country,Total,Expired,Due,Approved,Fraud
85,NO,Value Corporation,St. Avenue 45,GB0324179999AO,xc345,YES,PANAMA,10000,YES,12/12/2019,NO,YES
35,YES,Value Corporation 1,St. Avenue 54,GB0324179999AO,xc345,YES,GB,52440,NO,12/12/2019,NO,NO
78,YES,Value Corporation 2,St. Avenue 45,NI0324179999AO,xc345,NO,NIGERIA,10000,YES,12/12/2019,NO,YES
12,YES,Value Corporation 3,St. Avenue 5,IT0324179999AO,xc345,NO,ITALY,10000,YES,12/12/2019,NO,YES
67,YES,Value Corporation 4,St. Avenue 87,DE0324179999AO,xc345,YES,GERMANY,10000,YES,12/12/2019,NO,NO
34,YES,Value Corporation 5,St. Avenue 65,UK0324179999AO,xc345,YES,UKRAINE,10000,YES,12/12/2019,NO,YES
12,YES,Value Corporation 6,St. Avenue 45,FR0324179999AO,xc345,YES,FRANCE,10000,YES,12/12/2019,NO,NO
32,YES,Value Corporation 7,St. Avenue 34,VN0324179999AO,xc345,YES,VENEZUELA,10000,YES,12/12/2019,NO,YES
988,YES,Value Corporation 8,St. Avenue 75,CHR0324179999AO,xc345,YES,CHINA,10000,YES,12/12/2019,NO,NO
894,YES,Value Corporation 9,St. Avenue 90,CH0324179999AO,xc345,YES,CHINA,10000,YES,12/12/2019,NO,YES
90,YES,Value Corporation 10,St. Avenue 34,IT0324179999AO,xc345,YES,USA,10000,YES,12/12/2019,NO,NO
721,YES,Value Corporation 11,St. Avenue 34,DE0324179999AO,xc345,YES,GERMANY,10000,YES,12/12/2019,NO,NO
423,YES,Value Corporation 43,St. Avenue 34,LB0324179999AO,xc345,YES,LIBIA,10000,YES,12/12/2019,NO,NO
765,YES,Value Corporation 54,St. Avenue 34,FR0324179999AO,xc345,YES,FRANCE,10000,YES,12/12/2019,NO,NO
088,YES,Value Corporation 67,St. Avenue 34,ES0324179999AO,xc345,YES,SPAIN,10000,YES,12/12/2019,NO,NO


